Způsob_koupě,Typ_obydlení,Počet_pokojů,Typ_kuchyně,Velikost_bytu,Cena,Ulice,Kraj
pronájem,bytu,1,k,36,15000,"Neumannova, Praha 5 - Zbraslav",1
pronájem,bytu,2,k,59,20000,"9. května, Praha 9 - Hostavice",1
pronájem,bytu,1,k,38,17000,"Práčská, Praha 10 - Záběhlice",1
pronájem,bytu,3,1,120,44000,"Tržiště, Praha 1 - Malá Strana, okres Praha",1
pronájem,bytu,4,1,300,45000,"Ke Kulišce, Praha 6 - Dejvice",1
pronájem,bytu,2,k,55,20000,"Hugo Haase, Praha 5 - Hlubočepy",1
pronájem,bytu,2,k,51,15990,"Andrštova, Praha 8 - Libeň",1
pronájem,bytu,2,k,64,22900,"Lotyšská, Praha 6 - Bubeneč",1
pronájem,bytu,3,k,92,34000,"náměstí Olgy Scheinpflugové, Praha 5 - Hlubočepy",1
pronájem,bytu,5,1,183,75000,"Americká, Praha 2 - Vinohrady, okres Praha",1
pronájem,bytu,2,k,61,30000,"Olšanská, Praha 3 - Žižkov",1
pronájem,bytu,2,k,72,23000,"U vody, Praha 7 - Holešovice",1
pronájem,bytu,3,k,98,36000,"Pražského povstání, Praha 4 - Kunratice, okres Praha",1
pronájem,bytu,4,k,120,39000,"Pražského povstání, Praha 4 - Kunratice, okres Praha",1
pronájem,bytu,1,k,19,13990,"Holečkova, Praha 5 - Košíře",1
pronájem,bytu,4,k,132,45000,"V třešňovce, Praha 9 - Hrdlořezy",1
pronájem,bytu,2,k,49,14400,"Vrchlického, Praha 5 - Košíře",1
pronájem,bytu,2,k,49,22500,"Zlochova, Praha 4 - Modřany",1
pronájem,bytu,3,1,59,18900,"Varnsdorfská, Praha 9 - Střížkov",1
pronájem,bytu,3,k,114,29000,"Ve žlíbku, Praha 9 - Horní Počernice",1
pronájem,bytu,1,k,30,11000,"Mezihoří, Praha 9 - Horní Počernice",1
pronájem,bytu,2,k,50,21000,"Plzeňská, Praha 5 - Smíchov",1
pronájem,bytu,2,k,47,20000,"Vinohradská, Praha 10 - Strašnice",1
pronájem,bytu,2,k,49,16000,"Ružinovská, Praha 4 - Krč",1
